,pth,label,relFCs
0,anger/image0000006.jpg,anger,
1,anger/image0000060.jpg,anger,
2,anger/image0000061.jpg,anger,
3,anger/image0000066.jpg,anger,
4,anger/image0000138.jpg,anger,
5,anger/image0000182.jpg,anger,
6,anger/image0000195.jpg,anger,
7,anger/image0000213.jpg,anger,
8,anger/image0000294.jpg,anger,
9,anger/image0000333.jpg,anger,
10,anger/image0000343.jpg,anger,
11,anger/image0000356.jpg,anger,
12,anger/image0000368.jpg,anger,
13,anger/image0000399.jpg,anger,
14,anger/image0000407.jpg,anger,
15,anger/image0000415.jpg,anger,
16,anger/image0000441.jpg,anger,
17,anger/image0000450.jpg,anger,
18,anger/image0000470.jpg,anger,
19,anger/image0000513.jpg,anger,
20,anger/image0000593.jpg,anger,
21,anger/image0000602.jpg,anger,
22,anger/image0000690.jpg,anger,
23,anger/image0000697.jpg,anger,
24,anger/image0000722.jpg,anger,
25,anger/image0000723.jpg,anger,
26,anger/image0000758.jpg,anger,
27,anger/image0000776.jpg,anger,
28,anger/image0000923.jpg,anger,
29,anger/image0000932.jpg,anger,
30,anger/image0000949.jpg,anger,
31,anger/image0000965.jpg,anger,
32,anger/image0000972.jpg,anger,
33,anger/image0000996.jpg,anger,
34,anger/image0001015.jpg,anger,
35,anger/image0001021.jpg,anger,
36,anger/image0001061.jpg,anger,
37,anger/image0001062.jpg,anger,
38,anger/image0001063.jpg,anger,
39,anger/image0001086.jpg,anger,
40,anger/image0001113.jpg,anger,
41,anger/image0001152.jpg,anger,
42,anger/image0001161.jpg,anger,
43,anger/image0001241.jpg,anger,
44,anger/image0001244.jpg,anger,
45,anger/image0001258.jpg,anger,
46,anger/image0001283.jpg,anger,
47,anger/image0001296.jpg,anger,
48,anger/image0001305.jpg,anger,
49,anger/image0001314.jpg,anger,
50,anger/image0001341.jpg,anger,
51,anger/image0001348.jpg,anger,
52,anger/image0001375.jpg,anger,
53,anger/image0001453.jpg,anger,
54,anger/image0001470.jpg,anger,
55,anger/image0001516.jpg,anger,
56,anger/image0001521.jpg,anger,
57,anger/image0001524.jpg,anger,
58,anger/image0001527.jpg,anger,
59,anger/image0001529.jpg,anger,
60,anger/image0001538.jpg,anger,
61,anger/image0001555.jpg,anger,
62,anger/image0001568.jpg,anger,
63,anger/image0001600.jpg,anger,
64,anger/image0001615.jpg,anger,
65,anger/image0001623.jpg,anger,
66,anger/image0001688.jpg,anger,
67,anger/image0001741.jpg,anger,
68,anger/image0001765.jpg,anger,
69,anger/image0001773.jpg,anger,
70,anger/image0001778.jpg,anger,
71,anger/image0001794.jpg,anger,
72,anger/image0001849.jpg,anger,
73,anger/image0001857.jpg,anger,
74,anger/image0001861.jpg,anger,
75,anger/image0001892.jpg,anger,
76,anger/image0001916.jpg,anger,
77,anger/image0001933.jpg,anger,
78,anger/image0001934.jpg,anger,
79,anger/image0001949.jpg,anger,
80,anger/image0001956.jpg,anger,
81,anger/image0001974.jpg,anger,
82,anger/image0001990.jpg,anger,
83,anger/image0002009.jpg,anger,
84,anger/image0002024.jpg,anger,
85,anger/image0002046.jpg,anger,
86,anger/image0002048.jpg,anger,
87,anger/image0002049.jpg,anger,
88,anger/image0002080.jpg,anger,
89,anger/image0002102.jpg,anger,
90,anger/image0002105.jpg,anger,
91,anger/image0002106.jpg,anger,
92,anger/image0002140.jpg,anger,
93,anger/image0002143.jpg,anger,
